ruby validation,2013-08-19 20:44:35.110017
Hangman,2013-08-19 20:10:53.338323
getting burbon and normalize to work,2013-08-19 22:15:21.719216
Question about the morning Kata,2013-08-30 14:34:21.717441
Rspec,2013-08-30 16:54:01.029955
Teacher Assistent,2013-08-30 18:10:06.426117
intro to models,2013-08-30 16:11:23.72294
ABC kata,2013-08-30 13:58:40.916183
Mortgage assignment,2013-08-30 18:12:20.377847
putting data to a new line,2013-11-25 16:31:04.329943
Breakable Toy,2013-09-10 18:09:21.889593
Accessing github,2013-08-14 16:54:31.62388
Introduction to Rails App Structure: invalid link to repo,2013-08-14 17:03:39.187027
Coffee and Microwave outlet not working,2013-05-28 16:49:43.505462
Question about a code example in Apollo - Exploring Arrays,2013-08-26 15:22:12.481779
Slacker News: CSS,2013-08-20 12:55:48.252584
Hangman,2013-08-20 12:24:03.024913
Shorter version of if condition?,2013-08-20 17:19:25.65386
Mailing list exercise,2013-08-26 12:58:04.289734
Doghub: HTML & CSS & Neat,2013-08-20 18:15:53.595963
formatting error,2013-08-26 15:16:33.483651
Turning the AC down,2013-08-26 15:57:00.706371
Today's Kata - Hashes,2013-08-26 16:04:05.297276
Arrays of hashes,2013-08-26 15:48:38.882699
hash selection,2013-08-26 15:56:15.381917
working with hases,2013-08-26 16:59:38.275189
Card Class,2013-08-26 19:58:00.636423
Apollo Instructions,2013-08-26 20:03:07.491543
shuffling the deck,2013-08-26 20:05:20.479892
mortgage kata,2013-08-30 19:37:30.031424
Teacher Assistent,2013-08-30 19:38:50.443754
can someone take a look at my blog data model before i migrate?,2013-09-10 18:21:29.854251
Server not running w/ Postgres,2013-05-22 18:42:07.477269
abc challenge,2013-09-01 19:15:55.844002
Capybara and testing,2013-05-28 19:01:07.387738
I'm on Ruby 1.8.7,2013-08-14 17:34:27.852397
Ruby Update,2013-08-14 17:43:27.397448
Need Ruby version update,2013-08-14 17:39:04.859528
Instance methods,2013-08-26 20:15:49.932952
"How to use the ""like"" modifier in the Rails console",2013-09-04 15:19:48.040972
Methods and Classes,2013-09-04 14:25:37.832021
Mailing list kata,2013-08-26 20:13:45.904705
Intro to Pivotal Tracker Page,2013-08-20 20:13:32.275085
Guess the Number (DRY & Regex),2013-08-20 20:56:18.213014
Whiteboard,2013-08-26 20:42:30.801987
using bootstrap,2013-09-01 16:23:14.300103
OO Blackjack,2013-08-26 20:23:19.056368
yesterday ahhhh,2013-09-04 14:12:19.083661
atm - reading/writing from a csv,2013-09-01 21:00:23.793755
Migration,2013-09-05 20:13:59.867683
Breakable toy schema,2013-09-06 12:31:46.24558
EE Assistance,2013-05-22 21:17:08.815062
restaurant 3,2013-09-23 18:48:59.697062
"""gem install rails"" fails",2013-08-14 19:12:37.705912
Whiteboard,2013-08-26 21:09:20.435941
Database modeling,2013-09-03 14:53:41.379828
SQL Assignment,2013-09-03 16:18:36.296873
subl command line,2013-08-14 19:28:38.335655
"In the Spaces, Not Tabs activity.",2013-08-14 19:42:38.413153
SQLite updating,2013-09-03 16:52:30.513371
models - default values,2013-09-11 12:42:19.61503
Intro to Models assignment,2013-08-30 22:13:20.737855
BlackJack Assignment (methods),2013-08-21 17:09:02.939167
Constant Question,2013-09-03 14:58:51.65754
Hangman,2013-08-21 16:49:56.556035
Test won't pass,2013-09-04 17:17:55.551516
slackernews textbox,2013-08-21 17:55:55.884079
SCSS formatting,2013-08-21 15:51:11.669475
Code review for blackjack?,2013-08-21 23:16:37.412544
Figuring out 'offset',2013-09-04 16:20:32.858325
masshealth,2013-09-04 17:05:42.647575
Seeding SQL database,2013-09-03 15:15:32.899776
Mortage Calc,2013-09-03 15:11:11.911427
Pig Latin Kata,2013-09-03 15:22:01.755373
Understanding Methods and Classes,2013-09-03 15:01:26.736074
Validation concerns w/ scoped records,2013-06-14 18:44:00.971329
"computer keeps ""sleeping"" when display is attached",2013-08-15 15:23:40.599893
Stuck on last issue for broken test suite exercise,2013-09-04 19:09:28.473381
Circle code,2013-08-27 12:45:25.102963
routing problem,2013-08-15 19:24:19.457496
rvm ,2013-12-17 13:00:27.079516
mailing list kata - extra challenge,2013-08-27 13:32:42.842859
Basic HTML & CSS Layout - Part 4 - Styling the Navigation using the box model,2013-08-16 03:17:34.737401
sqlite3 new_database.db,2013-09-04 19:09:47.241304
Hangman,2013-08-22 13:00:17.374084
password for postgres,2013-09-04 19:19:28.032512
Vote for fun pull request,2013-09-05 20:13:22.924265
teacher assistant,2013-09-05 20:31:11.365639
Fixing my computer,2013-09-09 13:01:09.712786
Quick Challenge,2013-08-27 18:18:44.994241
class << self,2013-08-27 17:56:43.293554
Class Method Quick Challenge,2013-08-27 18:01:59.878691
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),2013-08-27 20:14:41.175845
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),2013-08-27 20:14:41.575129
Animal inheritance exercise,2013-08-27 20:38:19.857791
Class Method Quick Challenge,2013-08-27 18:02:19.6719
Blackjack Refactoring,2013-08-27 19:47:51.768475
Class Method Gist,2013-08-27 18:20:07.13569
quick challenge,2013-08-27 18:09:16.590595
OO blackjack,2013-08-27 23:12:11.174244
Steph and I would like to make a reservation for help on Blackjack OO for after Sam's review :),2013-08-27 20:14:40.516772
BlackJack ,2013-08-22 15:43:12.569617
Model Review,2013-05-23 15:55:52.132705
Connecting to server,2013-08-16 12:59:14.965905
blog data model: tests/validations are written - can someone check to make sure these are good?,2013-09-10 19:06:08.949405
getting postgres to work,2013-09-04 20:25:47.455189
Add me to Google Group!,2013-05-23 16:06:29.121512
"""A server is already running. Check .../tmp/pids/server.pid""",2013-08-16 17:31:55.288085
Submitting Dropbox link for Art Gallery model doesn't work,2013-05-23 17:29:34.11668
collapsing a margin on my shmoogle,2013-08-16 17:47:00.924637
Pull requests,2013-08-28 11:19:36.662254
broken test suite,2013-09-04 22:36:04.639536
Making an alias ,2013-08-16 18:47:09.418265
Validation,2013-08-28 14:18:18.741063
Hashes Exercise,2013-08-22 14:59:12.264245
TDD,2013-09-04 22:28:58.714289
Submitting pull request URL for assessment,2013-08-28 19:25:22.117479
Problems with rake:db seed,2013-09-05 02:05:59.608083
Exploring Rails,2013-08-28 16:18:08.535796
Should I merge the pull request from phase 4?,2013-08-28 19:14:53.227047
turning today's kata into OOP,2013-08-28 14:17:15.760276
writing to csv,2013-08-28 20:55:31.940748
Acronym Code,2013-09-06 14:03:16.054348
parking tracker - order by DESC does not appear to be working,2013-09-20 13:14:59.555125
Create an API wrapper (in Python),2013-08-17 16:27:01.961015
showing a completed form title on user show page,2013-07-02 14:55:38.201458
Resolving bundler dependency issues,2013-07-02 17:32:49.877652
ajax,2013-07-02 19:27:03.697491
Assignment 263 - Rails Migrations & SQL Alter Table,2013-09-05 02:24:46.763244
code review,2013-07-02 20:00:07.121964
AJAX tests,2013-07-03 13:39:56.539327
Pulling the keys from a hash into an array,2013-08-22 17:38:11.79974
Alpha assignment,2013-08-29 11:52:17.894161
Ruby Katas - Test Scores ,2013-08-29 12:21:35.412304
Seeding a database repeatedly without resulting in redundant data,2013-09-05 20:09:14.892059
Echo.,2013-08-22 20:55:54.258783
Can't figure out method calls from within methods,2013-08-22 21:29:23.408714
normalization,2013-09-05 20:39:39.469338
Join Table,2013-09-05 20:50:47.770411
Do i need to make a model for categories?,2013-09-05 20:59:15.015811
Eric,2013-09-05 21:25:14.331678
GitHub,2013-09-06 14:37:07.992817
normalization assignments,2013-09-06 17:03:09.64086
Migration Marathon,2013-09-06 17:41:49.805803
need help with TDD,2013-09-06 17:53:21.734835
acronym factory,2013-09-09 11:59:18.579835
financial tracker: iterating through a hash with arrays in it,2013-08-23 15:28:53.160972
Ruby Code: Using the Operating '<' or '>',2013-08-18 16:31:29.52614
RVM gemset still acting up,2013-12-12 13:07:50.911935
mass health,2013-09-05 16:34:07.261689
has one association,2013-12-13 20:23:34.653457
golf scorecard 1,2013-05-23 17:41:36.485381
Review ER diagrams,2013-05-23 20:35:26.347157
Association question,2013-05-24 15:23:44.148307
double quote characters in strings :( - matt b.,2013-05-24 19:12:22.770848
double quote characters in strings :( - matt b.,2013-05-24 19:12:27.07971
double quote characters in strings :( - matt b.,2013-05-24 19:12:28.398386
Confused about control statements,2013-05-24 20:39:54.705757
Help!,2013-05-24 20:53:48.475281
pgadmin +postgres problem,2013-05-26 16:57:14.245021
Logging and Recommiting in Git,2013-08-18 20:58:57.498576
db already exists,2013-05-28 14:37:47.297523
SlackerNews,2013-08-19 00:14:07.438295
Problems with user permissions,2013-07-07 16:21:38.114375
Error when trying to run seed specs,2013-07-08 00:41:32.657013
"App on Heroku, but cannot login",2013-07-08 04:59:39.076366
Javascript on breakable toy,2013-07-08 13:00:19.323735
Dan agreed to code review,2013-07-08 14:47:47.693565
deleting from s3,2013-07-08 19:40:13.931414
json redirect,2013-07-09 16:47:30.239714
slack_news help!,2013-08-18 21:35:12.94945
Guessing game,2013-08-19 03:40:47.553375
Hangman,2013-08-23 12:58:22.774309
Mass Health Study,2013-09-05 16:39:43.185881
Ruby Classes - Last Quick Challenge,2013-05-08 21:09:07.262399
generating a scaffold,2013-09-12 18:06:49.543876
can't press submit ,2013-05-10 19:09:14.857004
Breakable toy help,2013-05-16 14:23:21.014532
greeting,2013-05-16 19:02:38.768896
custom validations,2013-05-20 17:43:00.350997
Apollo Dashboard,2013-08-19 11:34:11.743183
The Next Train,2013-08-23 14:57:18.600856
we can't make a test turn red,2013-05-20 20:02:08.382645
rspec,2013-05-21 01:05:06.587416
Rspec,2013-05-21 13:29:55.532468
Question about ER diagrams,2013-05-21 14:41:26.692638
postgresql setup,2013-05-21 16:43:12.060224
postgres,2013-05-21 17:55:53.155944
psql Library Not Loaded,2013-05-21 17:59:03.058303
create postgresql manually,2013-05-21 18:00:16.94538
postgres rake db:create not working,2013-05-21 18:04:32.077364
XX Needs Help,2013-05-22 14:43:49.626976
Please add 'Bundle' command to 'Setting up RSpec' instructions,2013-05-22 14:51:21.893178
How do we submit MC Check-In?,2013-05-22 16:52:22.365992
test failing,2013-05-22 17:19:36.627735
test failing,2013-05-22 17:19:37.165091
designing tables,2013-05-22 17:53:00.302567
db on heroku,2013-06-12 16:26:48.572426
wireframe review - next steps after wireframes?,2013-08-29 17:11:00.429129
Blackjack OO,2013-08-29 20:15:30.723269
using gsub within mass health study,2013-09-05 19:14:34.342915
Need help with getting test to pass,2013-05-29 17:03:33.877648
need help running my migration ,2013-05-29 17:12:09.351933
displaying name and spotted by on website,2013-05-30 14:30:15.480531
TDD question,2013-05-30 14:44:46.065347
"""Event Statistics"" not showing up",2013-05-30 17:38:52.688342
PARTIALS,2013-05-30 18:30:09.47767
Capybara isolate element,2013-05-30 18:58:54.043073
confusion with partials ,2013-05-30 19:33:21.866325
Applying CSS styles to specific variables in ERB tags,2013-05-30 21:16:42.198427
Extending rspec macros,2013-05-31 21:17:19.587164
Invalid Dropbox request again...,2013-06-01 16:37:56.480628
done something stupid,2013-06-03 15:15:07.777629
"Help me troubleshoot something, please.",2013-06-04 15:47:06.796243
Routes,2013-06-04 18:29:38.54493
Mapping Routes,2013-06-04 20:15:30.345101
"""Def Edit"" problem: I don't know what's going on.",2013-06-04 20:25:44.405276
Clarification on unit test ,2013-06-04 21:13:30.900424
DropBox URL,2013-06-04 22:14:57.452625
poltergeist,2013-06-05 13:40:21.611001
Unique Player,2013-06-05 14:01:21.8455
test error,2013-06-05 14:53:55.833722
Random Assignment Questions,2013-06-05 14:58:09.541348
Assignment questions,2013-06-05 15:34:58.729392
tdd help ,2013-06-05 19:39:16.658972
Testsessions?,2013-06-06 15:00:13.893363
Introduction to Sessions = Introduction to Jigga Wha?,2013-06-06 15:02:09.179985
assignment question,2013-06-06 15:04:23.94529
form without a model,2013-06-06 15:13:58.259025
bootstrap gem will not install,2013-06-06 18:43:07.893587
Pairing with a EE,2013-06-07 15:28:12.39758
Nested Model Form & Accepts Nested Attributes,2013-06-07 15:40:09.496656
flash assignment,2013-06-07 17:35:12.552482
Apollo will not accept my hangman submission link,2013-06-08 19:58:05.033343
Having a column in a db as an option in a form...,2013-06-10 13:55:55.182617
Testing omniauth authentication,2013-06-10 13:58:22.006194
Full text search,2013-06-27 15:21:14.574803
Jason Steve and Roger need your help,2013-06-10 14:00:55.612753
Trying to figure out which calendar input form to use,2013-06-10 14:01:40.761704
Conflicting Devise and User Controllers?,2013-06-10 14:02:48.510094
Hangman,2013-06-10 14:08:55.119439
"Join table, creating a record (nested resource)",2013-06-10 15:21:39.145285
breakable toy,2013-06-10 15:45:27.465742
Breakable toy Feedback,2013-06-10 15:56:16.391898
Routes for my breakable toy,2013-06-10 16:58:52.560114
redirect on successful sign in test,2013-06-10 16:58:56.94813
rspec support helper,2013-06-10 17:36:09.026038
How to test for random turn order?,2013-06-10 17:46:57.72365
Breakable Toy Structure,2013-06-10 18:12:47.742934
Having a weird problem with Rspec,2013-06-10 18:39:51.360341
getting HAML to display a list,2013-06-10 19:07:36.980861
Question on routing,2013-06-10 19:10:09.710891
hangman,2013-06-10 19:28:16.424872
stuck displaying nested attributes,2013-06-10 19:46:25.884777
"looping with ""until""",2013-06-10 21:33:11.971183
Hangman,2013-06-10 23:34:05.220699
AJAX in Rails,2013-06-11 04:02:56.026302
Error pulling from and pushing to Github,2013-06-11 16:20:08.979883
Help testing cron job,2013-06-11 16:48:09.552047
Code review for pull request,2013-06-11 18:24:48.48883
EE review of acceptance criteria for group project,2013-06-11 18:24:52.658813
setting up devise ,2013-06-11 19:33:53.074098
For loop,2013-06-11 20:33:22.781997
Dates and forms,2013-06-11 20:47:20.686155
Can someone take a look at the last merge i made?,2013-06-12 15:13:41.050282
Using handlebars,2013-06-12 15:14:48.295816
Git rm,2013-06-12 15:38:51.589986
Javascript partial or application.js?,2013-06-12 15:48:07.15409
Challenge with deploying Heroku,2013-06-12 16:38:46.788523
git workflow,2013-06-12 17:15:32.719056
Getting devise sign up as the homepage,2013-06-12 17:16:27.826975
Help us go over our ER diagram,2013-06-12 18:41:05.029902
PG error when starting server.,2013-06-12 19:05:51.723003
Weird Ruby issue,2013-06-12 20:00:58.85223
polymorphism and how to divvy up creating models,2013-06-12 20:14:39.248716
"Capybara, Selecting from multiple buttons/links",2013-06-12 21:19:22.499307
Code review on Hangman,2013-06-12 23:03:29.153504
Writing test for custom validations,2013-06-13 01:49:07.816527
AJAX call when you don't want any data in response,2013-06-13 02:32:38.406734
Testing AJAX calls,2013-06-13 16:16:42.664115
Code review for breakable toy pull request,2013-06-13 18:27:20.60715
Git Issue,2013-06-13 19:07:32.104292
Can Can wierd error,2013-06-13 19:14:35.30725
github pull request,2013-06-13 19:54:35.3045
Devise - Editing the generated view,2013-06-13 20:50:28.504496
Opting in and out of receiving email,2013-06-13 21:00:29.475354
Code review for pull request,2013-06-13 23:05:31.805995
Branch review before pull,2013-06-14 00:31:57.240854
Code Review before refactor?,2013-06-14 15:15:35.177131
Konacha,2013-06-14 16:43:19.906759
bt pull request / Jason,2013-06-14 17:17:46.06398
droppin hash knowledge,2013-06-14 18:16:07.787268
sunspot help,2013-06-14 19:25:19.505486
Implementation Notes on group project.,2013-06-14 20:49:26.510201
Pull request,2013-06-14 21:15:20.950895
compare values in one hash to values in another hash,2013-06-16 01:53:16.565531
Code review and sub querying in rails,2013-06-16 18:51:57.541283
new pull request / Jason,2013-06-16 21:06:18.713365
Pull request code review,2013-06-17 01:58:44.58736
custom collections in forms,2013-06-17 13:39:18.052825
Small group project,2013-06-17 14:58:20.530661
Breakable Toy Acceptance Criteria (Jason) ,2013-06-17 15:28:56.79462
Trouble with routes in BT,2013-06-17 15:53:19.410809
Architectural question,2013-06-17 16:09:07.325936
spec_helper and database_cleaner,2013-06-17 17:15:25.447426
Quick question about capybara using block,2013-06-17 17:43:18.011947
nesting reviews on show page,2013-06-17 19:17:54.025996
pull request / Jason,2013-06-17 20:40:00.279877
Code review for pull request,2013-06-17 22:37:13.732006
Testing Javascript in a rails app,2013-06-18 11:27:21.654207
Factory_Girl Has Many Relationship,2013-06-18 20:46:36.801293
Breakable toy Feedback,2013-06-18 21:51:21.373855
new bt pull request / Jason,2013-06-19 03:01:39.23396
Question about databases and join table,2013-06-19 15:42:01.776469
passing parameters into partials,2013-06-19 16:15:17.939051
Routing error,2013-06-19 16:37:16.021645
Capybara Q,2013-06-19 19:10:43.195216
Question for Adam - breakable-toy related,2013-06-19 19:27:08.227903
Question for Adam - breakable-toy related,2013-06-19 19:27:08.960979
Git issue,2013-06-19 20:09:29.1869
Pull request code review,2013-06-19 22:48:09.963128
Puil review for Jason!,2013-06-20 00:34:38.69713
PG error,2013-06-20 12:37:26.835266
Breakable Toy Sign up on homepage (Jason),2013-06-27 15:21:31.159924
Form submitting twice,2013-06-20 12:39:36.052404
DOM changes after ajax call messing with isotope js filtering :((((((,2013-06-20 12:41:16.100204
DOM changes after ajax call messing with isotope js filtering :((((((,2013-06-20 12:41:25.045971
Model associations,2013-06-20 15:17:56.795357
carrierwave,2013-06-20 16:29:13.471812
Listener design pattern in Rails,2013-06-20 17:00:36.024964
"has_many, through, through?",2013-06-20 17:33:03.047632
parsing json,2013-06-21 12:03:13.716807
Pull request BOYEEEE,2013-06-21 12:21:38.403453
Pull request code review- javascript,2013-06-21 13:36:45.881915
Pull request code review - presenters,2013-06-21 15:21:53.18961
custom validations,2013-06-21 15:52:18.436152
new bt pull request / Jason,2013-06-21 19:01:25.152346
Test and actually doing it isn't reproducing the same results,2013-06-21 19:42:26.271332
Help making design decision,2013-06-21 20:40:07.405038
Cannot get button to delete an item,2013-06-23 02:26:46.530609
Ember JS,2013-06-23 02:40:43.839974
Pull request code review - Stripe,2013-06-23 18:59:29.684478
Email content not being rendered,2013-06-23 22:56:55.781883
new bt pull request / Jason,2013-06-24 00:30:12.77152
Pair with Jason on ajax requests,2013-06-24 11:19:29.166371
Code review for pull request - Resque Mailer,2013-06-24 12:52:53.812518
PostGres issues,2013-06-24 13:34:35.500431
nested resources,2013-06-24 16:51:22.412298
Fo ril: pair with Jason on ajax request,2013-06-24 17:27:46.373718
issue with rakefile version,2013-06-24 17:35:59.567965
CanCan,2013-06-24 17:45:45.935804
    undefined method `start_with?' for nil:NilClass,2013-06-27 15:35:11.016471
"""Already activated rake""",2013-06-24 18:30:18.610015
Integration testing JS,2013-06-24 18:56:32.780648
Code review on pagination and sorting,2013-06-24 18:57:41.052852
Jason - loading screen during background job execution,2013-06-24 19:01:45.218067
Nokogiri Spitting out Duplicate results?,2013-06-24 19:25:04.054188
Pagination and draper,2013-06-24 20:12:31.594169
Tests pass sometimes and fail at other times,2013-06-24 20:16:38.727408
Code review for pull request - Intro.js,2013-06-24 20:45:59.723942
running timed jobs,2013-06-25 13:07:48.351764
Strategies for testing nondeterministic events,2013-06-25 14:20:09.740923
validates_presence_of,2013-06-25 14:52:45.980368
pg_trgm,2013-06-25 16:11:52.963056
Configure omniauth for heroku,2013-06-25 17:17:59.596024
new bt pulll request / Jason,2013-06-25 17:28:10.422367
Setting up redis on heroku,2013-06-25 18:16:49.02855
Help with nested resources ,2013-06-25 18:30:10.812496
wierdness with .each loop,2013-06-25 19:32:37.81117
overriding setter methods in model,2013-06-25 19:48:34.379753
post method + controller create action,2013-06-25 20:10:21.682676
Redis configuration for heroku - invalid URI ,2013-06-25 20:20:25.476087
Pairing session with EE,2013-06-25 20:47:25.612741
Adam - help writing a procfile for heroku,2013-06-26 11:25:21.187842
saving to DB with a has_many :through relationship,2013-06-26 12:20:10.538499
Not certain how to test these features,2013-06-26 18:08:19.261987
Backbone code review - Hangman,2013-06-26 18:21:35.646061
debugging javascript,2013-06-26 18:40:35.138802
Help configuring resque for heroku,2013-06-26 18:47:28.446469
Wizard Forms,2013-06-26 20:41:42.099868
code review,2013-06-26 21:33:23.061303
Code Review for Breakable toy,2013-06-27 15:12:05.326538
Breakable Toy,2013-06-27 17:02:28.718907
pull request review,2013-06-27 18:27:44.398383
Need help getting livereload set up,2013-06-27 20:50:23.023634
Breakable Toy Code Review,2013-06-27 22:18:36.569036
Im getting heroku problems,2013-06-28 01:19:19.938233
Redirecting to an achor upon submition ,2013-07-01 13:40:35.580976
Pull Requests for Terrible Tracker,2013-07-01 14:26:12.135225
Importing new CSV file in my Breakable Toy,2013-07-01 18:03:12.787926
need help making edit controller more secure && pushing to heroku,2013-07-01 18:36:32.612747
need to talk about search!,2013-07-01 18:59:17.817986
VCR trubs,2013-07-02 15:35:04.334558
security questions,2013-07-02 16:38:29.167532
FactoryGirl: Validation failed: Name has already been taken,2013-07-02 20:23:27.803893
heroku with rake db:seed,2013-07-03 12:42:48.788369
database tables,2013-07-03 14:51:53.939054
Need suggestions on make my fix to a bug better.,2013-07-03 15:29:35.159286
Best practices for test helper methods?,2013-07-03 15:36:40.997817
CORS requests,2013-07-03 16:32:04.104753
Cant sum an array. Feeling foolish.,2013-07-03 16:37:44.646677
ajax,2013-07-03 20:08:48.037153
Pull request,2013-07-04 04:33:57.040755
code review,2013-07-04 10:28:49.29677
code review,2013-07-05 01:16:53.974801
code review,2013-07-06 00:09:41.207301
heroku not working with seed file,2013-07-08 16:42:45.311111
Code Review,2013-07-09 13:58:45.473728
AREL/Searching/Joins,2013-07-09 16:48:28.581954
Front End Styling,2013-07-10 14:05:28.124013
cors requests,2013-07-10 15:51:15.658472
Y'all should make the nav-points collapsable.,2013-07-16 12:50:06.013986
Observers,2013-07-16 22:18:41.612455
Prework brain science questions are not being displayed,2013-07-17 23:12:30.817008
Conflicts with setup,2013-07-18 13:52:03.348878
Help Me Please!!!,2013-07-18 14:21:05.044853
An Introduction to Git,2013-07-21 10:53:08.385127
A lingering install issue with Bootstrap,2013-07-23 11:58:47.279432
Job Search,2013-07-23 12:30:30.133968
Moving files in the console,2013-07-23 16:16:44.016013
Ruby Warrior,2013-07-30 00:03:57.909597
Acceptance Test,2013-09-23 19:12:30.341798
db:seed,2013-09-05 19:32:19.829178
Question about Deploying to BSD/Apache,2013-09-05 02:49:49.182978
Implementing FinalGrade and GradeSummary into teacher grade project,2013-11-26 23:33:34.863476
Field name as an argument,2013-09-10 19:34:18.218684
Constant Help Por Favore,2013-09-23 19:51:42.847195
RVM,2013-09-11 19:23:21.428671
breakable toy - custom validations & different error messages,2013-09-17 12:15:30.790466
The Next Train,2013-09-08 15:52:37.067464
Blog Model Project,2013-09-11 21:08:09.627944
Art Gallery - Testing Boolean Values in RSPEC Tests,2013-09-11 21:38:01.735059
acronym factory ,2013-09-09 01:39:55.351186
Blog Model Project,2013-09-11 21:33:37.052856
tail log,2013-09-12 15:15:05.449564
database,2013-09-06 21:12:16.375566
Count number length and inserting into hash,2013-09-06 21:14:28.557167
Mass Health Database,2013-09-08 21:55:53.862491
Breakable toy schema,2013-09-07 20:47:22.304658
Mass Health - ActiveRelation statements,2013-09-08 22:18:47.19916
Array Stats,2013-09-06 20:52:05.297781
Has_one association,2013-09-08 22:33:08.852262
using join tables for relationships,2013-09-08 23:51:50.811309
TDD Cohort Enrollment Kata,2013-09-10 12:41:26.217352
ER Diagram for Breakable Toy,2013-09-09 14:18:08.74865
Check ER Diagram,2013-09-10 19:53:10.139515
rails c not running,2013-09-09 15:35:36.415653
Using Rspec and Model methods,2013-09-09 16:51:49.037128
rake db:migrate not working for rspec assignment,2013-09-09 18:29:21.15655
expect method not existing,2013-09-09 18:16:59.104088
TDD Word Count Kata,2013-09-09 16:25:37.534698
birds_no_spotted_by,2013-09-09 18:39:01.951946
"Working on ER and models, not sure how they should work",2013-09-09 18:31:31.430631
odd number list for Hash,2013-09-09 18:48:21.250683
Using RSpec and Model methods,2013-09-09 19:11:50.772925
using a github repo in another git repo,2013-09-09 19:12:13.019015
rails database assignment,2013-09-09 18:21:20.627427
Rails isn't clearing the database between tests,2013-09-09 16:21:29.522764
"Quick Challenge: using TDD methodology, have an instance method that returns a floating point value between 0 and 1",2013-09-09 19:30:31.101221
RSpec Tips and Tricks,2013-09-09 18:57:55.888866
RSpec and Rails Environments,2013-09-09 19:43:31.027047
Using Rspec and Model methods,2013-09-09 19:54:43.100622
postgres error,2013-09-09 20:10:50.412644
2nd quick challenge in TDD in Rails,2013-09-09 19:49:46.580457
Using Rspec and Model methods,2013-09-09 20:02:54.100801
RSpec and Rails Environments,2013-09-09 20:14:03.872915
Phase IV of the reassessment ,2013-09-10 13:04:55.619307
Intro to Partials ,2013-09-17 19:35:46.133608
Intro to RVM,2013-09-10 20:10:09.684342
academy tracker,2013-09-10 20:08:12.907316
rspec and model methods,2013-09-10 21:33:13.93082
TDD Cohort Enrollment Guidance,2013-09-10 21:45:37.45868
Deaf Grandma extended exercise,2013-09-11 01:03:21.283165
Using Rspec and Model Methods,2013-09-11 03:03:53.960628
Breakable toy: paper_trail and models,2013-09-12 14:24:46.271844
Today's Kata,2013-09-12 15:32:31.908792
Model Validation Question,2013-09-12 17:37:55.595704
Capybara fill_in,2013-09-12 17:42:06.809653
Inconsistent project names in Assignment (323),2013-09-12 15:54:14.105703
art gallery model ER diagram review,2013-09-12 16:55:55.452073
breaking out of a for in loop from a callback function in coffeescript,2013-09-12 15:24:10.433358
I can't figure out where the label on this button is coming from,2013-09-12 17:56:21.602749
Error with my routes,2013-09-12 18:17:54.11954
Failing Errors,2013-09-12 18:04:26.946657
i have issues with RVM,2013-09-12 20:43:11.467425
Rails TDD question,2013-09-12 18:46:49.405502
basic forms assignment,2013-09-17 12:45:01.161745
Help Styling Pickadate ,2013-10-09 13:35:57.564682
Parking spot phase 3,2013-09-17 14:38:43.44031
Securing routes,2013-10-09 13:51:39.213126
