title,artist,album,year,track_number,genre,length_in_seconds,image
Avalanche,Gardens & Villa,Dunes,2014,7,Indie,273,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Minnesota,Gardens & Villa,Dunes,2014,8,Indie,247,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Thunder Glove,Gardens & Villa,Dunes,2014,9,Indie,273,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Love Theme,Gardens & Villa,Dunes,2014,10,Indie,84,http://secretlycanadian.com/blog/wp-content/uploads/2013/11/sc294full-581x581.jpg
Mind of a Beast,The Glitch Mob,Love Death Immortality,2014,1,Electronic,259,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Our Demons (feat Aja Volkman),The Glitch Mob,Love Death Immortality,2014,2,Electronic,318,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Skullclub,The Glitch Mob,Love Death Immortality,2014,3,Electronic,350,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Becoming Harmonius (feat Metal Mother),The Glitch Mob,Love Death Immortality,2014,4,Electronic,282,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Can't Kill Us,The Glitch Mob,Love Death Immortality,2014,5,Electronic,296,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
I Need My Memory Back (feat Aja Volkman),The Glitch Mob,Love Death Immortality,2014,6,Electronic,349,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Skytoucher,The Glitch Mob,Love Death Immortality,2014,7,Electronic,370,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Fly By Night Only (feat Yaarrohs),The Glitch Mob,Love Death Immortality,2014,8,Electronic,289,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Carry the Sun,The Glitch Mob,Love Death Immortality,2014,9,Electronic,298,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
Beauty of the Unhidden Heart (feat Sister Crayon),The Glitch Mob,Love Death Immortality,2014,10,Electronic,269,http://thissongissick.com/wp-content/uploads/2014/02/The-Glitch-Mob-Love-Death-Immortality-artwork.jpg
seagull,ride,nowhere,1990,1,,368,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
kaleidoscope,ride,nowhere,1990,2,,181,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
in a different place,ride,nowhere,1990,3,,329,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
polar bear,ride,nowhere,1990,4,,286,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
dreams burn down,ride,nowhere,1990,5,,366,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
decay,ride,nowhere,1990,6,,216,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
paralysed,ride,nowhere,1990,7,,334,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
vapour trail,ride,nowhere,1990,8,,258,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
taste,ride,nowhere,1990,9,,197,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
here and now,ride,nowhere,1990,10,,267,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
nowhere,ride,nowhere,1990,11,,322,http://ridemusic.net/wp-content/uploads/2012/03/Ride_Nowhere_test-440x440.jpg
on fire,sebadoh,harmacy,1996,1,alternative,216,http://userserve-ak.last.fm/serve/300x300/82628509.png
prince-s,sebadoh,harmacy,1996,2,alternative,172,http://userserve-ak.last.fm/serve/300x300/82628509.png
ocean,sebadoh,harmacy,1996,3,alternative,166,http://userserve-ak.last.fm/serve/300x300/82628509.png
nothing like you,sebadoh,harmacy,1996,4,alternative,189,http://userserve-ak.last.fm/serve/300x300/82628509.png
crystal gypsy,sebadoh,harmacy,1996,5,alternative,89,http://userserve-ak.last.fm/serve/300x300/82628509.png
beauty of the ride,sebadoh,harmacy,1996,6,alternative,168,http://userserve-ak.last.fm/serve/300x300/82628509.png
mind reader,sebadoh,harmacy,1996,7,alternative,110,http://userserve-ak.last.fm/serve/300x300/82628509.png
sforzando!,sebadoh,harmacy,1996,8,alternative,210,http://userserve-ak.last.fm/serve/300x300/82628509.png
willing to wait,sebadoh,harmacy,1996,9,alternative,212,http://userserve-ak.last.fm/serve/300x300/82628509.png
hillbilly ii,sebadoh,harmacy,1996,10,alternative,119,http://userserve-ak.last.fm/serve/300x300/82628509.png
zone doubt,sebadoh,harmacy,1996,11,alternative,138,http://userserve-ak.last.fm/serve/300x300/82628509.png
too pure,sebadoh,harmacy,1996,12,alternative,226,http://userserve-ak.last.fm/serve/300x300/82628509.png
worst thing,sebadoh,harmacy,1996,13,alternative,175,http://userserve-ak.last.fm/serve/300x300/82628509.png
love to fight,sebadoh,harmacy,1996,14,alternative,54,http://userserve-ak.last.fm/serve/300x300/82628509.png
perfect way,sebadoh,harmacy,1996,15,alternative,169,http://userserve-ak.last.fm/serve/300x300/82628509.png
can't give up,sebadoh,harmacy,1996,16,alternative,122,http://userserve-ak.last.fm/serve/300x300/82628509.png
open ended,sebadoh,harmacy,1996,17,alternative,208,http://userserve-ak.last.fm/serve/300x300/82628509.png
weed against speed,sebadoh,harmacy,1996,18,alternative,175,http://userserve-ak.last.fm/serve/300x300/82628509.png
i smell a rat,sebadoh,harmacy,1996,19,alternative,94,http://userserve-ak.last.fm/serve/300x300/82628509.png
Pioneer Spine,Speedy Ortiz,Major Arcana,2013,1,,216,http://userserve-ak.last.fm/serve/300x300/91454621.png
Tiger Tank,Speedy Ortiz,Major Arcana,2013,2,,165,http://userserve-ak.last.fm/serve/300x300/91454621.png
Hitch,Speedy Ortiz,Major Arcana,2013,3,,155,http://userserve-ak.last.fm/serve/300x300/91454621.png
Casper (1995),Speedy Ortiz,Major Arcana,2013,4,,168,http://userserve-ak.last.fm/serve/300x300/91454621.png
No Below,Speedy Ortiz,Major Arcana,2013,5,,223,http://userserve-ak.last.fm/serve/300x300/91454621.png
Gary,Speedy Ortiz,Major Arcana,2013,6,,205,http://userserve-ak.last.fm/serve/300x300/91454621.png
Fun,Speedy Ortiz,Major Arcana,2013,7,,125,http://userserve-ak.last.fm/serve/300x300/91454621.png
Cash Cab,Speedy Ortiz,Major Arcana,2013,8,,214,http://userserve-ak.last.fm/serve/300x300/91454621.png
Plough,Speedy Ortiz,Major Arcana,2013,9,,172,http://userserve-ak.last.fm/serve/300x300/91454621.png
MKVI,Speedy Ortiz,Major Arcana,2013,10,,427,http://userserve-ak.last.fm/serve/300x300/91454621.png
so young,stone roses,the complete stone roses,1995,1,,201,http://userserve-ak.last.fm/serve/300x300/97410133.png
tell me,stone roses,the complete stone roses,1995,2,,232,http://userserve-ak.last.fm/serve/300x300/97410133.png
sally cinnamon,stone roses,the complete stone roses,1995,3,,171,http://userserve-ak.last.fm/serve/300x300/97410133.png
here it comes,stone roses,the complete stone roses,1995,4,,161,http://userserve-ak.last.fm/serve/300x300/97410133.png
all across the sands,stone roses,the complete stone roses,1995,5,,162,http://userserve-ak.last.fm/serve/300x300/97410133.png
elephant stone,stone roses,the complete stone roses,1995,6,,183,http://userserve-ak.last.fm/serve/300x300/97410133.png
full fathom five,stone roses,the complete stone roses,1995,7,,200,http://userserve-ak.last.fm/serve/300x300/97410133.png
the hardest thing in the world,stone roses,the complete stone roses,1995,8,,162,http://userserve-ak.last.fm/serve/300x300/97410133.png
made of stone,stone roses,the complete stone roses,1995,9,,254,http://userserve-ak.last.fm/serve/300x300/97410133.png
going down,stone roses,the complete stone roses,1995,10,,168,http://userserve-ak.last.fm/serve/300x300/97410133.png
she bangs the drums,stone roses,the complete stone roses,1995,11,,224,http://userserve-ak.last.fm/serve/300x300/97410133.png
mersey paradise,stone roses,the complete stone roses,1995,12,,167,http://userserve-ak.last.fm/serve/300x300/97410133.png
standing here,stone roses,the complete stone roses,1995,13,,307,http://userserve-ak.last.fm/serve/300x300/97410133.png
i wanna be adored,stone roses,the complete stone roses,1995,14,,210,http://userserve-ak.last.fm/serve/300x300/97410133.png
waterfall,stone roses,the complete stone roses,1995,15,,218,http://userserve-ak.last.fm/serve/300x300/97410133.png
i am the resurrection,stone roses,the complete stone roses,1995,16,,225,http://userserve-ak.last.fm/serve/300x300/97410133.png
where angels play,stone roses,the complete stone roses,1995,17,,254,http://userserve-ak.last.fm/serve/300x300/97410133.png
fools gold,stone roses,the complete stone roses,1995,18,,258,http://userserve-ak.last.fm/serve/300x300/97410133.png
what the world is waiting for,stone roses,the complete stone roses,1995,19,,230,http://userserve-ak.last.fm/serve/300x300/97410133.png
something burning,stone roses,the complete stone roses,1995,20,,218,http://userserve-ak.last.fm/serve/300x300/97410133.png
one love,stone roses,the complete stone roses,1995,21,,216,http://userserve-ak.last.fm/serve/300x300/97410133.png
the act we act,sugar,copper blue,1992,1,,310,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
a good idea,sugar,copper blue,1992,2,,227,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
changes,sugar,copper blue,1992,3,,301,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
helpless,sugar,copper blue,1992,4,,185,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
hoover dam,sugar,copper blue,1992,5,,327,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
the slim,sugar,copper blue,1992,6,,314,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
if i can’t change your mind,sugar,copper blue,1992,7,,198,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
fortune teller,sugar,copper blue,1992,8,,267,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
slick,sugar,copper blue,1992,9,,299,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
man on the moon,sugar,copper blue,1992,10,,272,http://userserve-ak.last.fm/serve/300x300/83507623.jpg
gift,sugar,file under: easy listening,1994,1,,254,http://userserve-ak.last.fm/serve/300x300/61845719.png
company book,sugar,file under: easy listening,1994,2,,225,http://userserve-ak.last.fm/serve/300x300/61845719.png
your favorite thing,sugar,file under: easy listening,1994,3,,231,http://userserve-ak.last.fm/serve/300x300/61845719.png
what you want it to be,sugar,file under: easy listening,1994,4,,253,http://userserve-ak.last.fm/serve/300x300/61845719.png
gee angel,sugar,file under: easy listening,1994,5,,236,http://userserve-ak.last.fm/serve/300x300/61845719.png
panama city motel,sugar,file under: easy listening,1994,6,,247,http://userserve-ak.last.fm/serve/300x300/61845719.png
can't help you anymore,sugar,file under: easy listening,1994,7,,209,http://userserve-ak.last.fm/serve/300x300/61845719.png
granny cool,sugar,file under: easy listening,1994,8,,213,http://userserve-ak.last.fm/serve/300x300/61845719.png
believe what you're saying,sugar,file under: easy listening,1994,9,,236,http://userserve-ak.last.fm/serve/300x300/61845719.png
explode and make up,sugar,file under: easy listening,1994,10,,294,http://userserve-ak.last.fm/serve/300x300/61845719.png
precision auto,superchunk,on the mouth,1993,1,,166,http://userserve-ak.last.fm/serve/300x300/59395481.png
from the curve,superchunk,on the mouth,1993,2,,198,http://userserve-ak.last.fm/serve/300x300/59395481.png
for tension,superchunk,on the mouth,1993,3,,179,http://userserve-ak.last.fm/serve/300x300/59395481.png
mower,superchunk,on the mouth,1993,4,,225,http://userserve-ak.last.fm/serve/300x300/59395481.png
package thief,superchunk,on the mouth,1993,5,,148,http://userserve-ak.last.fm/serve/300x300/59395481.png
swallow that,superchunk,on the mouth,1993,6,,374,http://userserve-ak.last.fm/serve/300x300/59395481.png
i guess i remembered it wrong,superchunk,on the mouth,1993,7,,213,http://userserve-ak.last.fm/serve/300x300/59395481.png
new low,superchunk,on the mouth,1993,8,,200,http://userserve-ak.last.fm/serve/300x300/59395481.png
untied,superchunk,on the mouth,1993,9,,252,http://userserve-ak.last.fm/serve/300x300/59395481.png
the question is how fast,superchunk,on the mouth,1993,10,,246,http://userserve-ak.last.fm/serve/300x300/59395481.png
trash heap,superchunk,on the mouth,1993,11,,205,http://userserve-ak.last.fm/serve/300x300/59395481.png
flawless,superchunk,on the mouth,1993,12,,153,http://userserve-ak.last.fm/serve/300x300/59395481.png
the only piece that you get,superchunk,on the mouth,1993,13,,161,http://userserve-ak.last.fm/serve/300x300/59395481.png
see no evil,television,marquee moon,1977,1,rock,233,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
venus,television,marquee moon,1977,2,rock,231,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
friction,television,marquee moon,1977,3,rock,284,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
marquee moon,television,marquee moon,1977,4,rock,640,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
elevation,television,marquee moon,1977,5,rock,307,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
guiding light,television,marquee moon,1977,6,rock,335,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
prove it,television,marquee moon,1977,7,rock,302,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
torn curtain,television,marquee moon,1977,8,rock,416,http://userserve-ak.last.fm/serve/300x300/99911355.jpg
Awake,Tycho,Awake,2014,1,,283,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Montana,Tycho,Awake,2014,2,,326,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
L,Tycho,Awake,2014,3,,277,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Dye,Tycho,Awake,2014,4,,317,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
See,Tycho,Awake,2014,5,,318,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Apogee,Tycho,Awake,2014,6,,260,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Spectre,Tycho,Awake,2014,7,,226,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Plains,Tycho,Awake,2014,8,,197,http://blog.iso50.com/wp-content/uploads/2013/12/Awake-Cover-612.jpg
Neo Miami,Vektroid,Neo Cali,2011,1,,314,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Splash,Vektroid,Neo Cali,2011,2,,267,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Calm,Vektroid,Neo Cali,2011,3,,349,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Pak TV,Vektroid,Neo Cali,2011,4,,67,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Untitled,Vektroid,Neo Cali,2011,5,,132,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Skate Club I,Vektroid,Neo Cali,2011,6,,196,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Skate Club II,Vektroid,Neo Cali,2011,7,,271,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Yr Heart,Vektroid,Neo Cali,2011,8,,454,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Yr Mind,Vektroid,Neo Cali,2011,9,,357,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Interlude,Vektroid,Neo Cali,2011,10,,27,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Neo Cali,Vektroid,Neo Cali,2011,11,,476,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Over U,Vektroid,Neo Cali,2011,12,,234,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Softly,Vektroid,Neo Cali,2011,13,,230,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Terminal,Vektroid,Neo Cali,2011,14,,238,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
Tahiti TV,Vektroid,Neo Cali,2011,15,,274,http://www.wefearchange.com/wp-content/uploads/VEKTROID-NEO-CALI-cover-500x499.png
