id,title,year,synopsis,rating,genre,studio
16,Dan in Real Life,2007,"",64,Drama,Buena Vista
17,The Kids Are All Right,2010,"The son of a same-sex couple seeks out the sperm donor who made his birth possible in this comedy from writer/director Lisa Cholodenko. The committed parents of two teenage children, Nic (Annette Bening) and Jules (Julianne Moore), are about to send their daughter, Joni (Mia Wasikowska), off to college when her younger brother, Laser (Josh Hutcherson), asks for her help in tracking down his biological father. Reluctantly inquiring with the sperm bank, Joni leaves her number so the office can pass it along to Laser's father. Enthusiastic at the thought of meeting his long lost offspring, Paul (Mark Ruffalo) musters the courage to reach out, and the family tree grows a new branch. ~ Jason Buchanan, Rovi",93,Drama,Focus Features
18,Cloudy With a Chance of Meatballs,2009,"",87,Animation,Sony Pictures
19,Wallace & Gromit: The Curse of the Were-Rabbit,2005,"",95,Action & Adventure,Dreamworks
21,Chicken Run,2000,"",97,Drama,Dreamworks Pictures
22,Rango,2011,"Rango is a sheltered chameleon living as an ordinary family pet, while facing a major identity crisis. After all, how high can you aim when your whole purpose in life is to blend in? When Rango accidentally winds up in the gritty, gun-slinging town of Dirt - a lawless outpost populated by the desert's most wily and whimsical creatures - the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt... -- (C) Paramount",88,Action & Adventure,Paramount Pictures
23,Risky Business,1983,"",98,Comedy,Warner Bros.
24,An Education,2009,"",94,Art House & International,Sony Classics
25,American Beauty,1999,"",88,Drama,Dream Works
26,Orange County,2002,"",46,Comedy,Paramount Pictures
27,American Splendor,2003,"",94,Drama,Fine Line Features
28,Juno,2007,"",94,Drama,Fox Searchlight
29,Clerks,1994,"",88,Drama,Miramax Films
30,Napoleon Dynamite,2004,"",71,Comedy,Fox Searchlight Pictures
31,Hot Fuzz,2006,"",91,Drama,Rogue Pictures/Focus Features
32,In the Loop,2008,"",94,Art House & International,IFC
33,Restrepo,2010,"Filmmakers Sebastian Junger and Tim Hetherington pay a visit to Afghanistan's Korengal Valley to spend a year with the Second Platoon, a besieged squadron who dubbed their stronghold Outpost Restrepo in honor of their fallen comrade PFC Juan Restrepo. An al-Qaeda and Taliban stronghold, Korengal Valley sees some of the fiercest fighting in the War on Terror. At Outpost Restrepo, every shot fired is personal, and every target hit a gift to a fallen friend. ~ Jason Buchanan, Rovi",96,Documentary,National Geographic
34,The Station Agent,2003,"",95,Drama,Miramax Films
35,Rocket Science,2007,"",84,Drama,Picturehouse
36,Barney's Version,2011,"This seriocomic adaptation of Mordecai Richler's award-winning 1997 novel stars Paul Giamatti as Barney Panofsky, who meets the great love of his life, Miriam (Rosamund Pike), at the most inopportune time imaginable: his marriage to his second wife (Minnie Driver), a wealthy Jewish princess and compulsive shopper. Narrated by Barney as a confessional, the film covers 30 years of his unusual journey -- from his first marriage to the chronically unfaithful free spirit Clara (Rachelle Lefevre) and their life in Italy together, through his third marriage to Miriam, with whom he has two children. Standing in the wings is Barney's father, Izzy (Dustin Hoffman), who continues to stick by him as his loyal right-hand man. Through it all, Barney experiences numerous highs and lows, but manages to consistently surprise everyone with unforeseen acts of altruism and kindness that turn him into the quintessential modern hero. ~ Nathan Southern, Rovi",80,Drama,Sony Classics
37,Cold Souls,2009,"",73,Drama,IDP/Samuel goldwyn Films
38,World's Greatest Dad,2009,"",89,Drama,Magnolia Pictures
117,Mostly Martha (Bella Martha),2001,,92,Drama,Paramount Classics
118,The Lake House,2006,,35,Drama,Warner Bros. Pictures
129,Revolutionary Road,2008,,68,Drama,Paramount Vantage
130,The Last Station,2009,,70,Drama,Sony Pictures Classics
39,Life as We Know It,2010,"Two people who can't stand each other are forced to care for the same child in this domestic comedy drama starring Katherine Heigl and Josh Duhamel. Holly (Heigl) is a caterer whose career is just getting off the ground; Eric (Duhamel) directs sports for a major network. Their first date was a nightmare, and now they're about to become a family. When their goddaughter Sophie's parents both perish in a tragic accident, Holly and Eric are informed that they were singled out as Sophie's caretakers in the event of an unforeseen disaster. Now, in order to raise Sophie right, this bickering pair must put their differences aside while mastering the fine art of parenthood. Coordinating their new lives and getting along won't be easy for Eric and Holly, but somewhere between the conflicting schedules and drastic lifestyle changes, the reluctant couple realizes that with a help from Sophie, they're starting to resemble a real family. ~ Jason Buchanan, Rovi",28,Drama,Warner Bros. Pictures
40,The Family Stone,2005,"",51,Drama,20th Century Fox Distribution
41,Brokeback Mountain,2005,"",87,Drama,Focus Features
42,Sideways,2004,"",96,Drama,Fox Searchlight Pictures
43,Two Weeks,2006,"",19,Drama,MGM
44,A Single Man,2009,"",85,Drama,The Weinstein Company
45,Surf's Up,2007,"",78,Action & Adventure,Sony Pictures
46,Winnie the Pooh,2011,"Walt Disney Animation Studios returns to the Hundred Acre Wood with Winnie the Pooh. Featuring the timeless charm, wit and whimsy of the original featurettes, this all-new movie reunites audiences with the philosophical ""bear of very little brain"" and friends Tigger, Rabbit, Piglet, Owl, Kanga, Roo-and last, but certainly not least, Eeyore, who has lost his tail. ""Ever have one of those days where you just can't win, Eeyore?"" asks Pooh. Owl sends the whole gang on a wild quest to save Christopher Robin from an imaginary culprit. It turns out to be a very busy day for a bear who simply set out to find some honey. Inspired by three stories from A.A. Milne's books in Disney's classic, hand-drawn art style. -- (C) Walt Disney",90,Animation,Walt Disney Pictures
47,How to Train Your Dragon,2010,"The son of a Viking chief must capture a dragon in order to mark his passage into manhood and prove his worthiness to the tribe in directors Chris Sanders and Dean DeBlois' adaptation of Cressida Cowell's popular children's book. Gerard Butler, America Ferrera, Jonah Hill, Jay Baruchel, and Christopher Mintz-Plasse provide voices for the DreamWorks Animation production. ~ Jason Buchanan, Rovi",98,Animation,Paramount/DWA
48,Charlie and the Chocolate Factory,2005,"",82,Kids & Family,Warner Bros. Pictures
49,Wallace and Gromit: A Close Shave,1995,,100,Animation,Northern Arts Entertainment
52,Matilda,1996,,90,Comedy,Sony Pictures Home Entertainment
53,Tim Burton's Corpse Bride,2005,,83,Action & Adventure,Warner Bros. Pictures
54,The Nightmare Before Christmas,1993,,96,Animation,Touchstone Pictures
55,Coraline,2009,,90,Action & Adventure,Focus Features
56,Flushed Away,2006,,72,Animation,Paramount
58,Finding Nemo,2003,,99,Animation,Walt Disney Pictures
59,Hoodwinked Too! Hood vs Evil,2011,"The sequel to Hoodinked finds our heroine, Red (Hayden Panettiere), training with a mysterious covert group called the Sisters of the Hood. But Red is forced to cut her training short when she gets an urgent call from Nicky Flippers (David Ogden Stiers), who returns as head of the super-secret Happily Ever After Agency, aka the HEA. A wicked witch (Joan Cusack) has abducted two innocent children, Hansel (Bill Hader) and Gretel (Amy Poehler), and Nicky needs Red for the search-and-rescue mission. Granny (Glenn Close) and the rest of the Hoodinked gang-including the ever-clueless Wolf (Patrick Warburton) and his over-caffeinated little partner, Twitchy (Cory Edwards), join Red to solve the forest's latest caper. -- (C) Official Site",11,Animation,The Weinstein Co.
60,Up,2009,,98,Action & Adventure,Walt Disney Pictures
61,Ratatouille,2007,,96,Animation,Disney/Pixar
62,Rio,2011,"From the makers of the hit Ice Age series comes Rio, a comedy adventure about taking a walk on the wild side. Blu is a domesticated Macaw who never learned to fly, living a comfortable life with his owner and best friend Linda in the small town of Moose Lake, Minnesota. Blu and Linda think he's the last of his kind, but when they learn about another Macaw who lives in Rio de Janeiro, they head to the faraway and exotic land to find Jewel, Blu's female counterpart. Not long after they arrive, Blu and Jewel are kidnapped by a group of bungling animal smugglers. With the help of street smart Jewel, and a group of wise-cracking and smooth-talking city birds, Blu escapes. Now, with his new friends by his side, Blu will have to find the courage to learn to fly, thwart the kidnappers who are hot on their trail, and return to Linda, the best friend a bird ever had. -- (C) Fox",72,Action & Adventure,20th Century Fox
63,A Good Old Fashioned Orgy,2011,"A close group of 30-somethings spend every weekend throwing elaborate theme parties at their friend Eric's (Jason Sudeikis) family home in the Hamptons. When Eric's dad decides to sell off their summer playground, the friends agree there is only one way to have the biggest and brashest send off party, a good old fashioned orgy. -- (C) Samuel Goldwyn",33,Comedy,Samuel Goldwyn Films
64,The Girl Next Door,2004,,55,Drama,20th Century Fox
65,Mission: Impossible,1996,,61,Mystery & Suspense,Paramount Pictures
66,Submarine,2011,"Fifteen-year-old Oliver Tate has two big ambitions: to save his parents' marriage via carefully plotted intervention and to lose his virginity before his next birthday. Worried that his mom is having an affair with New Age weirdo Graham, Oliver monitors his parents' sex life by charting the dimmer switch in their bedroom. He also forges suggestive love letters from his mom to dad. Meanwhile, Oliver attempts to woo his classmate, Jordana, a self-professed pyromaniac who supervises his journal writing - especially the bits about her. When necessary, she orders him to cross things out. -- (C) Weinstein",87,Drama,The Weinstein Company
119,Meet the Parents,2000,,84,Comedy,Universal Pictures
120,Rumor Has It,2005,,20,Comedy,Warner Bros. Pictures
121,Because I Said So,2007,,5,Drama,Universal Pictures
123,Milk,2008,,94,Drama,Focus Features
124,Boys Don't Cry,1999,,88,Drama,Twentieth Century Fox
125,Bear Cub (Cachorro),2004,,77,Art House & International,TLA Releasing
126,Bottle Shock,2009,,48,Drama,Freestyle Releasing
127,Broken Flowers,2005,,88,Drama,Focus Features
499,Twelve Monkeys (12 Monkeys),1995,,88,Drama,Universal Pictures
67,Toast,2011,"Nigel's mother (Victoria Hamilton) appears to have been the world's worst cook, boiling unopened cans of food to a soggy pulp and nervously refusing young Nigel's (Oscar Kennedy) suggestions that she try an occasional fresh veg. After many a ruined dinner they fall back on that old reliable, toast-the one dish she has mastered. But Nigel loves her dearly, and is devastated by her early death, leaving him and his lonely dad (Ken Stott) to look after each other. When new cleaner Mrs. Potter (Helena Bonham Carter) arrives, her curves, charms and fabulous lemon meringue pies quickly bewitch Nigel's father, and, much to his son's horror, the three move to the country to live together. The one silver lining is Domestic Science class at Nigel's new school, where Nigel (now played by Freddie Highmore) can finally shine. Soon he and Mrs. P. have embarked on a highly competitive cooking duel, vying for Dad's affections. -- (C) Official Site",61,Drama,Screen Gems
68,Oranges And Sunshine,2011,"Oranges and Sunshine tells the story of Margaret Humphreys (Emily Watson), a social worker from Nottingham, who uncovered one of the most significant social scandals of recent times; the mass deportation of children from the United Kingdom to Australia. Single-handedly and against overwhelming odds, Margaret reunited thousands of families and drew worldwide attention to an extraordinary miscarriage of justice. Children as young as four had been told that their parents were dead and sent to children's homes on the other side of the world, where many were subjected to appalling abuse. These forgotten children were promised Oranges and Sunshine but they got hard labour and life in institutions. -- (C) Icon",71,Art House & International,Independent Pictures
69,Never Let Me Go,2010,"Director Mark Romanek (One Hour Photo) and writer Alex Garland (28 Days Later) team up to adapt Remains of the Day author Kazuo Ishiguro's introspective sci-fi novel about a group of unsuspecting boarding-school students who make a horrifying discovery about themselves. Sheltered teens Kathy (Carey Mulligan), Ruth (Keira Knightley), and Tommy (Andrew Garfield) all grew up at a remote English boarding school, and now they're hungry to explore the real world. Their dreams of freedom are soon stifled, however, upon learning that they are nothing more than clones created specifically for organ harvesting. Now, in addition to confronting their own mortality, all three must come to terms with a lifetime of emotions and unfulfilled longings while pondering their true purpose for being. ~ Jason Buchanan, Rovi",70,Drama,Fox Searchlight Pictures
70,A Serious Man,2009,,89,Drama,Focus Features
71,The Beaver,2011,"Jodie Foster directs and co-stars with Mel Gibson in The Beaver - an emotional story about a man on a journey to re-discover his family and re-start his life. Plagued by his own demons, Walter Black was once a successful toy executive and family man who now suffers from depression. No matter what he tries, Walter can't seem to get himself back on track...until a beaver hand puppet enters his life. -- (C) Summit",60,Drama,Summit Entertainment
72,Welcome to the Rileys,2010,"WELCOME TO THE RILEYS is a powerful drama about finding hope in the most unusual of places. Once a happily married and loving couple, Doug and Lois Riley (James Gandolfini and Melissa Leo) have grown apart since losing their teenage daughter eight years prior. Leaving his agoraphobic wife behind to go on a business trip to New Orleans, Doug meets a 17-year-old runaway (Kristen Stewart) and the two form a platonic bond. For Lois and Doug, what initially appears to be the final straw that will derail their relationship, turns out to be the inspiration they need to renew their marriage. -- (C) Samuel Goldwyn",55,Drama,Samuel Goldwyn Films/Destination Films
73,Blue Valentine,2010,"A relationship is charted from its promising beginning to its sad collapse in this independent drama from Derek Cianfrance. Dean (Ryan Gosling) meets Cindy (Michelle Williams) when they're in their late teens; he's working for a moving company, she's a college student visiting her elderly grandmother at a home for the elderly. Cindy is dating Bobby (Mike Vogel), her boyfriend from high school, but as she gets to know Dean better, a mutual attraction grows between them. Years later, Dean and Cindy are married and have a daughter, Frankie (Faith Wladyka), but they're clearly not as happy as they once were; Dean loves his daughter but feels distant from his wife, they have to look after an elderly relative (John Doman), and when Cindy bumps into Bobby while running errands, it's clear he still holds a grudge against her. Dean and Cindy go away for a weekend together at a hotel, but it doesn't take long for them to realize that the magic isn't coming back. Blue Valentine received its world premiere at the 2010 Sundance Film Festival. ~ Mark Deming, Rovi",87,Drama,Weinstein Company
74,Road Trip,2000,,57,Comedy,Dreamworks Distribution LLC
75,The Life of Reilly,2007,,98,Documentary,Reel Diva Consultants
76,Adaptation,2002,,91,Drama,Columbia Pictures
77,Knocked Up,2007,,91,Comedy,Universal
78,Terri,2011,"A hit at the Sundance 2011 Film Festival, Terri is a moving and often funny film about the relationship between Terri, an oversized teen misfit, and the garrulous but well-meaning vice principal (John C. Reilly) who takes an interest in him. Terri is produced by the team behind Blue Valentine and Half Nelson, and directed by Azazel Jacobs (Momma's Man). -- (C) ATO Pictures",87,Comedy,IDP/ATO
79,Clerks II,2006,,63,Drama,MGM
80,Jay and Silent Bob Strike Back,2001,,54,Comedy,Dimension Films
81,Dogma,1999,,67,Comedy,Lions Gate
83,Chasing Amy,1997,,90,Comedy,Miramax Films
84,The Benchwarmers,2006,,11,Comedy,Sony Pictures Releasing
85,Blades of Glory,2007,,69,Comedy,Paramount Pictures
86,Hot Rod,2007,,39,Action & Adventure,Paramount Pictures
87,Superbad,2007,,88,Comedy,Sony Pictures/Columbia
88,Lars and the Real Girl,2007,,81,Comedy,MGM/Sidney Kimmel Entertainment
89,Shaun of the Dead,2004,,91,Action & Adventure,Focus Features
90,The Other Guys,2010,"A desk-jockey detective and his tough-talking partner get their moment to shine in this buddy police comedy starring Will Ferrell and Mark Wahlberg, and directed by Adam McKay (Anchorman: The Legend of Ron Burgundy, Talladega Nights: The Ballad of Ricky Bobby). New York City detective Allen Gamble (Ferrell) is more comfortable pushing pencils than busting bad guys. A meticulous forensic accountant, his numbers are never off. Detective Terry Hoitz (Wahlberg) is Gamble's reluctant partner. Try as Detective Hoitz might to get back on the streets, an embarrassing encounter with Derek Jeter has left a sizable black mark on his permanent record. Detectives Danson (Dwayne Johnson) and Highsmith (Samuel L. Jackson) are the complete opposites of Gamble and Hoitz: unwaveringly confident, they always get their man, and they do it with style to spare. When the time comes for Gamble and Hoitz to prove their mettle and save the day, their incompetence becomes the stuff of legend. ~ Jason Buchanan, Rovi",79,Action & Adventure,Columbia Pictures
91,Bad Boys II,2003,,23,Action & Adventure,Sony Pictures Entertainment
617,The Thin Red Line,1998,,79,Drama,20th Century Fox
92,Paul,2011,"Simon Pegg and Nick Frost (Hot Fuzz, Shaun of the Dead) reunite for the comedy adventure Paul as two sci-fi geeks whose pilgrimage takes them to America's UFO heartland. While there, they accidentally meet an alien who brings them on an insane road trip that alters their universe forever. For the past 60 years, an alien named Paul (Seth Rogen) has been hanging out at a top-secret military base. For reasons unknown, the space-traveling smart ass decides to escape the compound and hop on the first vehicle out of town -- a rented RV containing Earthlings Graeme Willy (Pegg) and Clive Gollings (Frost). Chased by federal agents and the fanatical father of a young woman that they accidentally kidnap, Graeme and Clive hatch a fumbling escape plan to return Paul to his mother ship. And as two nerds struggle to help, one little green man might just take his fellow outcasts from misfits to intergalactic heroes. Paul is directed by Superbad's Greg Mottola, from a story by Pegg & Frost. Joining the comedy's cast are Jason Bateman, Kristen Wiig, Bill Hader, Blythe Danner, Joe Lo Truglio, John Carroll Lynch, David Koechner and Sigourney Weaver. -- (C) Universal",71,Art House & International,Universal Pictures
93,Withnail and I,1987,,93,Drama,Cineplex-Odeon Films
94,The Madness of King George,1994,,93,Drama,MGM
96,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,1964,,100,Classics,Sony Pictures
97,Full Metal Jacket,1987,,94,Drama,Warner Bros.
98,Jarhead,2005,,61,Drama,Universal Pictures
99,Armadillo,2010,"ARMADILLO is an astute exploration of the culture of war. Director Janus Metz follows Danish soldiers fighting the Taliban in the Helmand province of southern Afghanistan with sophisticated visual artistry rarely achieved under such raw conditions. Building his film around the characters within the platoon, Metz allows us to witness how war transforms the different personalities, and the group, approaching his subjects with an intimacy equal to that of fiction. The active military base ""Armadillo"" houses a mix of 170 Danish and British soldiers in the ISAF (International Security Assistance Force) who are responsible for providing security to the surrounding area and eliminating the Taliban insurgency. Metz follows his subjects through an entire tour of duty, creating an unforgettable portrait of the reality of military life on the front lines. Documenting both the boredom and horror of warfare, Metz shows us the soldiers playing video games and laughing at pornography, struggling to communicate with disillusioned civilians, and killing a group of Taliban soldiers found hiding in a trench. The film avoids judgments for or against the war, and instead shows the soldiers struggling to maintain their humanity in a world filled with violence.-- (c) New Yorker",92,Documentary,New Yorker
100,Taxi to the Dark Side,2007,,100,Documentary,ThinkFilm
101,The Visitor,2008,,89,Drama,Overture Films
102,Wendy and Lucy,2008,,85,Drama,Oscilloscope Pictures
103,Goodbye Solo,2008,,95,Drama,Roadside Attractions
104,The Straight Story,1999,,95,Drama,Buena Vista Pictures
105,Meet Monica Velour,2011,"In this irreverent comedy, awkward teenager Tobe (Dustin Ingram) sets off on a road trip to meet Monica Velour (Kim Cattrall), his favorite '80s porn star, at a rare live appearance hundreds of miles away. Instead of the glamorous sexpot portrayed on film, he finds a 49-year-old single mom living in a trailer in rural Indiana, performing at seedy strip clubs to make ends meet. A starry-eyed Tobe, still captivated by his crush, befriends Monica, further complicating her difficult life. Kim Cattrall gives a career-defining performance in this offbeat love story that appeals to the dreamer -- and the nerd -- in all of us. -- (C) Anchor Bay",48,Drama,Anchor Bay Entertainment
106,Beware the Gonzo,2010,"Eddie ""Gonzo"" Gilman (Ezra Miller) is starting a revolution. When the wild-eyed rebel journalist is ousted from his prep school's newspaper by its uber-popular editor Gavin Riley (Jesse McCartney), Gonzo starts an underground paper, ""The Gonzo Files"", to give a voice to all the misfits victimized by Gavin and his cronies. With help from the mysterious Evie (Zoe Kravitz), ""The Gonzo Files"" becomes a runaway hit and turns the school upside down, but Gonzo soon learns that the truth comes with consequences in this fresh teen-angst comedy. Beware the Gonzo also features Amy Sedaris and Campbell Scott. -- (C) Official Site",44,Comedy,Tribecca Films
107,Good Will Hunting,1997,,97,Drama,Miramax Films
108,Kramer vs. Kramer,1979,,86,Drama,Sony Pictures Home Entertainment
109,Wag the Dog,1997,,85,Comedy,New Line Cinema
110,Cyrus,2010,"Directed by mumblecore stalwarts Jay and Mark Duplass, Cyrus stars John C. Reilly as John, a middle-aged lonely divorced guy who, as the film opens, gets dragged to a party by his remarried ex-wife (Catherine Keener) -- who remains his best friend. After a few clumsy, drunken passes at a variety of women, John encounters Molly (Marisa Tomei), an attractive single-mom who finds John's social awkwardness appealing. They hit it off, and quickly begin a tender new relationship. Problems soon arise in the form of Cyrus (Jonah Hill), Molly's twentysomething son, who has an off-puttingly close relationship to his mom. Soon the jealous Cyrus sets about trying to break them up, and John must figure out how to deal with this unhinged and unexpected rival. ~ Perry Seibert, Rovi",80,Comedy,Fox Searchlight
111,Everything Must Go,2011,"Adapted and directed by Dan Rush, and based on a short story by Raymond Carver, Everything Must Go tells the story of Nick (Will Ferrell) a career salesman whose days of being on top are long gone. The same day Nick gets fired, for falling off the wagon one last time, he returns home to discover his wife has left him, changed the locks on their suburban home and dumped all his possessions out on the front yard. Faced with his life imploding, Nick puts it all on the line - or more properly, on the lawn - reluctantly holding a yard sale that becomes a unique strategy for survival. -- (C) Roadside Attractions",75,Drama,Roadside Attractions
113,Me and You and Everyone We Know,2005,,81,Drama,IFC Films
114,No Reservations,2007,,41,Drama,Warner Bros. Pictures
115,Raising Helen,2004,,23,Comedy,Buena Vista Pictures
116,A Little Help,2010,"It's a movie for everyone whose life has been thrown off-course, out of whack, or simply not turned out the way they planned it. In other words, it's a movie for everyone, period. Set in suburban Long Island in the summer of 2002, with the psychic wounds of 9/11 still fresh, A Little Help is a story that takes a comic, searching and profoundly empathetic look at a few pivotal months in the life of dental hygienist Laura Pehlke (Jenna Fischer)-an ordinary woman whose life suddenly flies off the rails-and her heroic efforts to re-establish a sense of security and normalcy for herself and her son. -- (C) Official Site",42,Drama,Freestyle Releasing
128,My Sister's Keeper,2009,,48,Drama,Warner Bros. Pictures
618,Born on the Fourth of July,1989,,90,Drama,Universal Pictures
131,The King's Speech,2010,"After the death of his father King George V (Michael Gambon) and the scandalous abdication of King Edward VIII (Guy Pearce), Bertie (Colin Firth) who has suffered from a debilitating speech impediment all his life, is suddenly crowned King George VI of England. With his country on the brink of war and in desperate need of a leader, his wife, Elizabeth (Helena Bonham Carter), the future Queen Mother, arranges for her husband to see an eccentric speech therapist, Lionel Logue (Geoffrey Rush). After a rough start, the two delve into an unorthodox course of treatment and eventually form an unbreakable bond. With the support of Logue, his family, his government and Winston Churchill (Timothy Spall), the King will overcome his stammer and deliver a radio-address that inspires his people and unites them in battle. Based on the true story of King George VI, THE KING'S SPEECH follows the Royal Monarch's quest to find his voice. -- (C) Weinstein",94,Drama,The Weinstein Company
132,Breakfast at Tiffany's,1961,,88,Drama,Paramount Pictures
133,Happy Feet,2006,,75,Animation,Warner Bros. Pictures
134,Happy Feet Two,2011,"Happy Feet Two returns audiences to the magnificent landscape of Antarctica in superb 3D. Mumble, The Master of Tap, has a problem because his tiny son, Erik, is choreo-phobic. Reluctant to dance, Erik runs away and encounters The Mighty Sven-a penguin who can fly! Mumble has no hope of competing with this charismatic new role model. But things get worse when the world is shaken by powerful forces. Erik learns of his father's ""guts and grit"" as Mumble brings together the penguin nations and all manner of fabulous creatures-from tiny Krill to giant Elephant Seals-to put things right. -- (C) Warner Bros",46,Animation,Warner Bros. Pictures
135,Ice Age,2002,,77,Animation,20th Century Fox
136,The Tigger Movie,2000,,62,Animation,Buena Vista
137,Piglet's Big Movie,2003,,71,Animation,Walt Disney Pictures
138,Pooh's Heffalump Movie,2005,,79,Animation,Buena Vista
139,The Princess and the Frog,2009,,84,Animation,Walt Disney Pictures
140,Shrek,2001,,89,Animation,Dreamworks
141,The Iron Giant,1999,,97,Animation,Warner Bros. Pictures
142,Bolt,2008,,88,Action & Adventure,Walt Disney Pictures
143,"Monsters, Inc.",2012,"After exploring the worlds of toys and bugs in the two Toy Story films and A Bug's Life, the award-winning computer animation company Pixar delves into the realm of monsters with its fourth feature. Hulking, blue-furred behemoth James P. ""Sully"" Sullivan (John Goodman) and his one-eyed assistant Mike Wazowski (Billy Crystal) are employed by Monsters, Inc., a scream processing factory. It seems that the denizens of their realm thrive on the screams of kids spooked by monsters lurking under their beds and in their closets. It's the job of Sully, Mike, and their co-workers, including sarcastic Randall Boggs (Steve Buscemi), crab-like CEO Henry J. Waternoose (James Coburn), and lovely snake-headed receptionist Celia (Jennifer Tilly) to keep the frights flowing. When Sully and Mike are followed back into the monster world by a very unafraid little human girl named Boo (Mary Gibbs), they are exiled to her universe, where they discover that such a modern-day mythological specimen as the Abominable Snowman is a fellow refugee. ~ Karl Williams, Rovi",96,Animation,Buena Vista Distribution Compa
144,Willy Wonka and the Chocolate Factory,1971,,89,Kids & Family,Paramount Pictures
145,Alice in Wonderland,2010,n/a,51,Action & Adventure,Walt Disney Pictures
146,The Imaginarium of Doctor Parnassus,2009,,64,Action & Adventure,Sony Pictures Classics
147,Nanny McPhee,2006,,73,Comedy,Universal Pictures
148,Madeline,1998,,64,Comedy,Columbia Tri-Star
149,Harry Potter and the Sorcerer's Stone,2001,,80,Action & Adventure,Warner Bros. Pictures
150,Miracle on 34th Street,1994,,61,Drama,Twentieth Century Fox
151,Edward Scissorhands,1990,,91,Drama,20th Century Fox
152,Sweeney Todd: The Demon Barber of Fleet Street,2007,,86,Drama,DreamWorks/Paramount Studios
153,Beetlejuice,1988,,81,Horror,Warner Bros. Pictures
154,Alice in Wonderland,1951,,77,Animation,Film Chest
155,Mary and Max,2009,,95,Drama,IFC Films
156,Open Season,2006,,48,Action & Adventure,Sony Pictures
157,Stuart Little,1999,,66,Action & Adventure,Columbia Pictures
158,Shrek 2,2004,,89,Animation,DreamWorks SKG
159,The Incredibles,2004,,97,Animation,Buena Vista Pictures
160,Madagascar,2005,,55,Animation,Dreamworks
161,Mr. & Mrs. Smith,2005,,59,Action & Adventure,20th Century Fox
162,Hoodwinked,2006,,46,Animation,Weinstein Company
163,Happily N'ever After,2006,,4,Animation,Lionsgate
164,Shrek Forever After,2010,"A domesticated Shrek hatches a plan to recapture his mojo and discovers what life in Far Far Away land would have been like had he never existed in this final chapter of the popular animated film series. There used to be a time when the villagers would run in terror at the mere mention of the name Shrek, but these days the big green ogre is married to Princess Fiona and raising triplets. Maintaining your fierce public persona is no simple task when you're juggling infants and changing diapers, so when Shrek realizes that nobody is afraid of him anymore he recruits mischief-maker Rumpelstiltskin to restore his once-mighty roar. Unfortunately for Shrek, that plan hits an unexpected hitch. As a result, the morose monster takes a trip into an alternate-universe Far Far Away land where there is no Shrek, and Rumpelstiltskin reigns. There, Donkey spends his days hauling carts, and a portly Puss in Boots prefers lounging to swashbuckling. Perhaps with a little extra effort, Shrek will be able to regain his status as top ogre in town and still have his happily ever after, too. ~ Jason Buchanan, Rovi",58,Action & Adventure,Paramount
